,Subject,Domain,Sub Domain,Standard,Cluster,Lesson Taught
0,Math,Year 5,Operations and Algebraic Thinking,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Write and interpret numerical expressions.,"Course: Intro to Computer Science With Python, Unit: Simple Arithmetic Operations, Lesson: Python Arithmetic
"
1,Math,Year 5,Operations and Algebraic Thinking,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. For example, express the calculation “add 8 and 7, then multiply by 2” as 2 × (8 + 7). Recognize that 3 × (18932 + 921) is three times as large as 18932 + 921, without having to calculate the indicated sum or product.",Write and interpret numerical expressions.,"Course: Intro to Computer Science With Python, Unit: Simple Arithmetic Operations, Lesson: Python Arithmetic
"
2,Math,Year 6,Expressions and Equations,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole- number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Apply and extend previous understandings of arithmetic to algebraic expressions.,None
3,Math,Year 6,Expressions and Equations,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole- number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations). For example, use the formulas V = s3 and A = 6 s2 to find the volume and surface area of a cube with sides of length s = 1/2.",Apply and extend previous understandings of arithmetic to algebraic expressions.,None
4,Math,Year 6,Expressions and Equations,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Reason about and solve one-variable equations and inequalities.,None
5,Math,Year 6,Expressions and Equations,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time.",Represent and analyze quantitative relationships between dependent and independent variables.,None
6,Math,Year 8,Functions,"Understand that a function is a rule that assigns to each input exactly
one output. The graph of a function is the set of ordered pairs
consisting of an input and the corresponding output.","Define, evaluate, and compare functions.","Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Math Function Notation
Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Python Function Notation
"
7,Math,Number and Quantity,Vectors and Matrix Quantities,Add and subtract vectors.,Perform Operations on Vectors,None
8,Math,Number and Quantity,Vectors and Matrix Quantities,Multiply a vector by a scalar.,Perform Operations on Vectors,None
9,Math,Number and Quantity,Vectors and Matrix Quantities,"Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network.",Perform operations on matrices and use matrices in applications.,"Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
10,Math,Number and Quantity,Vectors and Matrix Quantities,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled.",Perform operations on matrices and use matrices in applications.,None
11,Math,Number and Quantity,Vectors and Matrix Quantities,"Add, subtract, and multiply matrices of appropriate dimensions.",Perform operations on matrices and use matrices in applications.,None
12,Math,Number and Quantity,Vectors and Matrix Quantities,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.,Perform operations on matrices and use matrices in applications.,None
13,Math,Functions,Interpreting functions,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",Understand the concept of a function and use function notation,"Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Python Function Notation
"
